Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000144713,RPL32,Gene Expression,0.1804328462988921,0.0,0.0,17737,1.6881031914595837,2405
ENSG00000198840,MT-ND3,Gene Expression,0.17969978660023778,0.0,0.0,22378,2.9890870020602964,2834
ENSG00000145425,RPS3A,Gene Expression,0.17941887156446298,0.0,0.0,12681,1.0915042839554974,2025
ENSG00000096696,DSP,Gene Expression,0.17842121828904653,0.0,0.0,16232,1.8092817046772394,2443
ENSG00000142676,RPL11,Gene Expression,0.17747131189412396,0.0,0.0,8953,0.7940948148880055,1783
ENSG00000126233,SLURP1,Gene Expression,0.17696594485292627,0.0,0.0,7042,0.346278506588117,963
ENSG00000239264,TXNDC5,Gene Expression,0.1769038971969175,0.0,0.0,3581,0.6306060959147443,1517
ENSG00000172809,RPL38,Gene Expression,0.17660946690722837,0.0,0.0,9883,0.7410039000169423,1665
ENSG00000100219,XBP1,Gene Expression,0.17648378080672064,0.0,0.0,1864,0.24756426514358695,789
ENSG00000126709,IFI6,Gene Expression,0.17580299432104418,0.0,0.0,10021,1.0455666720523868,1959
ENSG00000132465,JCHAIN,Gene Expression,0.17504458507802126,0.0,0.0,2777,0.5481603937600062,1211
ENSG00000204287,HLA-DRA,Gene Expression,0.17499437088342798,0.0,0.0,11237,1.865849461638955,2507
ENSG00000108107,RPL28,Gene Expression,0.1748714636255712,0.0,0.0,22429,2.051612364707058,2570
ENSG00000129538,RNASE1,Gene Expression,0.1747711676184844,0.0,0.0,3266,0.8251565840742695,1675
ENSG00000108821,COL1A1,Gene Expression,0.17331172070691353,0.0,0.0,4934,1.214492748236784,2042
ENSG00000186468,RPS23,Gene Expression,0.1721111438112867,0.0,0.0,11693,0.8682881466796296,1780
ENSG00000172867,KRT2,Gene Expression,0.17193405444955503,0.0,0.0,8146,0.42659307265313834,1070
ENSG00000057149,SERPINB3,Gene Expression,0.1715067624818289,0.0,0.0,6861,0.4091353129280568,1136
ENSG00000185962,LCE3A,Gene Expression,0.16901613567072676,0.0,0.0,365,0.011867687192841281,82
ENSG00000125148,MT2A,Gene Expression,0.16878178008489333,0.0,0.0,5201,0.8534363934369256,1768
ENSG00000110700,RPS13,Gene Expression,0.16877623627345448,0.0,0.0,12365,0.9030270350009082,1838
ENSG00000203785,SPRR2E,Gene Expression,0.16718094157063867,0.0,0.0,13264,1.0068639131079578,1762
ENSG00000134419,RPS15A,Gene Expression,0.16675949152130515,0.0,0.0,10565,0.7769613804863726,1682
ENSG00000065618,COL17A1,Gene Expression,0.16462403834878953,0.0,0.0,3820,0.42407967192436685,1173
ENSG00000178372,CALML5,Gene Expression,0.16450236283488798,0.0,0.0,24459,1.6406694980215821,2293
ENSG00000159516,SPRR2G,Gene Expression,0.16410423669977953,0.0,0.0,7421,0.6231459968446774,1356
ENSG00000229117,RPL41,Gene Expression,0.1614300241188941,0.0,0.0,45272,4.568731447597975,3081
ENSG00000118181,RPS25,Gene Expression,0.16083535533811474,0.0,0.0,9844,0.809003783745931,1763
