Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000189334,S100A14,Gene Expression,0.24409829030664346,0.0,0.0,5836,0.41939537639661695,1285
ENSG00000231500,RPS18,Gene Expression,0.24268933392592654,0.0,0.0,21767,1.8716280747320748,2626
ENSG00000171711,DEFB4A,Gene Expression,0.24166219559833366,0.0,0.0,1522,0.06701414721954387,320
ENSG00000198938,MT-CO3,Gene Expression,0.23956526358845545,0.0,0.0,77580,12.017247974738433,3666
ENSG00000041982,TNC,Gene Expression,0.23712556017365383,0.0,0.0,8400,1.1374637355761592,2114
ENSG00000165272,AQP3,Gene Expression,0.2369069952003841,0.0,0.0,10600,0.7425570908098974,1726
ENSG00000164924,YWHAZ,Gene Expression,0.2363655548515004,0.0,0.0,10806,1.181780859666723,2240
ENSG00000198804,MT-CO1,Gene Expression,0.23234010029813298,0.0,0.0,52250,5.889275827319626,3414
ENSG00000184363,PKP3,Gene Expression,0.23183851890180912,0.0,0.0,3603,0.4097610937670366,1322
ENSG00000241343,RPL36A,Gene Expression,0.23170057280301984,0.0,0.0,12320,0.9793868573972118,2015
ENSG00000134760,DSG1,Gene Expression,0.22544622692252664,0.0,0.0,6291,0.4677129077370551,1277
ENSG00000140519,RHCG,Gene Expression,0.22496442915778772,0.0,0.0,1065,0.1117797772795244,465
ENSG00000120708,TGFBI,Gene Expression,0.22327217478070963,0.0,0.0,4425,0.5343688623911407,1417
ENSG00000198242,RPL23A,Gene Expression,0.22278969871717574,0.0,0.0,10429,0.8901576348987216,1962
ENSG00000062038,CDH3,Gene Expression,0.2212403758628896,0.0,0.0,3934,0.4718952115471691,1389
ENSG00000206503,HLA-A,Gene Expression,0.2210498830965679,0.0,0.0,28433,3.8404983559146455,3190
ENSG00000197766,CFD,Gene Expression,0.22103641805882032,0.0,0.0,1034,0.3884116593331092,699
